"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LOGPBH-3BGDO-7VXSZT","FTW7HuD-gCyTmUIAJm49Sp0kuKfgUs","2024-11-01 13:39:49","deposit","","currency","fiat","GBP","spot / main",150.0000,0,173.3730
"LC6GP6-OCDZC-RPVQKN","FTHJvDy-HvMmVAkddDZdrNBu0B0fCW","2024-11-01 13:44:05","deposit","","currency","fiat","GBP","spot / main",200.0000,0,373.3730
"L44TVW-7Y5BF-B4JUZS","FTI5UL4-0WdyeC05eGfTPyvmqAGTMu","2024-11-02 08:29:12","deposit","","currency","fiat","GBP","spot / main",530.0000,0,903.3730
"LXV2AC-K7C5O-JMKJEF","FTaUOUf-L88pdzEo9LeP9OGATtIBuc","2024-11-02 08:29:12","deposit","","currency","fiat","GBP","spot / main",945.0000,0,1848.3730
"L6X4XD-S7AXH-DCBFMA","TIIAWV-NWCDG-SZ4WV2","2024-11-02 08:39:43","trade","tradespot","currency","fiat","GBP","spot / main",-1478.0404,2.9560,367.3766
"L2JLEJ-3KZLD-NTEKCX","TIIAWV-NWCDG-SZ4WV2","2024-11-02 08:39:43","trade","tradespot","currency","stable_coin","USDT","spot / main",1909.00000000,0,1910.34583122
"L7YLPM-UHPH7-3FFKUC","FTNdT2q-JaMrAJvfX2rNYaDg1fHwSD","2024-11-02 08:42:24","withdrawal","","currency","stable_coin","USDT","spot / main",-1905.00000000,4.00000000,1.34583122
"LF4Z36-XTKV3-O6HFVE","TQ4OQE-GF6L4-DABIGO","2024-11-02 09:09:59","trade","tradespot","currency","fiat","GBP","spot / main",-57.2908,0.1146,309.9712
"LQLZSF-ZM37G-L26EFP","TQ4OQE-GF6L4-DABIGO","2024-11-02 09:09:59","trade","tradespot","currency","stable_coin","USDT","spot / main",74.00000000,0,75.34583122
"LSZ6WW-YJBND-6ARX4H","FThpbWw-035HmDBziksp2MLl56jxdQ","2024-11-02 09:10:51","withdrawal","","currency","stable_coin","USDT","spot / main",-70.00000000,4.00000000,1.34583122
"LEGBPR-NU4RW-HVNZ3L","FTCSFIZ-GA94oxU0SGgHou7aP9DZTG","2024-11-03 11:27:54","deposit","","currency","fiat","GBP","spot / main",495.0000,0,804.9712
"L3OANY-YXEIE-4KIIJF","FTJAind-vXro0Tyxn8N9okRcIVR25F","2024-11-03 11:30:38","deposit","","currency","fiat","GBP","spot / main",10.0000,0,814.9712
"LPDMBP-UIUV4-Q6PFCK","FTVW0Rq-qoKAgZUCpVMeljdKaJNcMZ","2024-11-03 11:56:59","deposit","","currency","fiat","GBP","spot / main",480.0000,0,1294.9712
"L5MPGH-O2DQT-L2KDSQ","FTgNZO0-AW95i1Hucs4g77HJkXFUeR","2024-11-04 08:53:44","deposit","","currency","fiat","GBP","spot / main",255.0000,0,1549.9712
"L3QCEI-COSCX-2CGBTN","FTWesxq-NKMM4kXNlMBOveNn2IRROx","2024-11-04 18:16:12","deposit","","currency","fiat","GBP","spot / main",255.0000,0,1804.9712
"LT43BO-56XZ2-AAVC4L","TKAYFA-6TGXR-EHZUMD","2024-11-05 15:38:52","trade","tradespot","currency","fiat","GBP","spot / main",-1587.9276,3.1759,213.8677
"LYYQCP-6J2L6-NL7XK3","TKAYFA-6TGXR-EHZUMD","2024-11-05 15:38:52","trade","tradespot","currency","stable_coin","USDT","spot / main",2066.00000000,0,2067.34583122
"L33T6H-TCFNK-CFDLKO","FTKxR9X-WZfM8PxIVnNvUY68IaNFFg","2024-11-05 15:40:45","withdrawal","","currency","stable_coin","USDT","spot / main",-2062.00000000,4.00000000,1.34583122
