"txid","ordertxid","pair","aclass","subclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","trades"
"TIIAWV-NWCDG-SZ4WV2","OOX6X7-CUWVY-HATAKB","USDT/GBP","forex","stable_coin","2024-11-02 08:39:43.3077","buy","market",0.77424851,1478.04040853,2.95608082,1909.00000000,0.00000000,"initiated","L2JLEJ-3KZLD-NTEKCX,L6X4XD-S7AXH-DCBFMA","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TQ4OQE-GF6L4-DABIGO","OM2ZD7-GSVIA-UHPDUV","USDT/GBP","forex","stable_coin","2024-11-02 09:09:59.0747","buy","market",0.77420000,57.29080000,0.11458160,74.00000000,0.00000000,"initiated","LQLZSF-ZM37G-L26EFP,LF4Z36-XTKV3-O6HFVE","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TKAYFA-6TGXR-EHZUMD","OQKPRR-TP6KH-JZX3V5","USDT/GBP","forex","stable_coin","2024-11-05 15:38:52.783","buy","limit",0.76860000,1587.92760000,3.17585520,2066.00000000,0.00000000,"initiated","LYYQCP-6J2L6-NL7XK3,LT43BO-56XZ2-AAVC4L","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TLMP5Q-6YD6V-TC5ASA","OCTWAC-M57FE-4YLCVF","USDT/GBP","forex","stable_coin","2024-11-06 06:47:59.1486","buy","limit",0.77800000,61.46200000,0.12292400,79.00000000,0.00000000,"initiated","LNRWFA-LQKNL-G6HA7K,LZ4E2Q-EECUE-OMVFFH","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TUEZNB-AM2ZF-SEP5ST","OV2SG7-QW5CE-AVA6NJ","USDT/GBP","forex","stable_coin","2024-11-13 07:12:14.8234","buy","market",0.78441399,1218.97933391,2.43795867,1554.00000000,0.00000000,"initiated","LIADDQ-3O6BK-DF6UPM,LW5HI4-DGH5J-FPK3YC","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T32KGE-6G6UY-WI2H66","OYOEAH-XPSRU-LEO7N3","USDT/GBP","forex","stable_coin","2024-11-13 13:13:15.8285","sell","market",0.78510000,2499.68160978,4.99936322,3183.90219052,0.00000000,"initiated","LKRFVH-7IQ4Z-27SJXH,LIMDWK-SCHGF-MKBZ6M","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TQZUKM-UKA5E-64O4E5","OUZJBR-C43GG-NPG7TE","USDT/GBP","forex","stable_coin","2024-11-14 07:26:06.9966","sell","market",0.78840000,250.03171381,0.50006343,317.13814537,0.00000000,"initiated","LUZFAV-L5ORS-IIHLHX,LDRTLV-OBQYB-HWDXYS","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TXFPWZ-UBSON-VJGRE6","OSE47A-PDSCA-CGBTBJ","USDT/GBP","forex","stable_coin","2024-11-15 07:03:29.3057","sell","market",0.78860000,699.91124635,1.39982249,887.53645239,0.00000000,"initiated","LGKNXX-GXIPI-ESBWVX,LNKNXP-QBJSK-PHJTUO","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T2AU4A-2MKM4-3IYVHJ","OJNDOQ-RICDB-66TOZS","USDT/GBP","forex","stable_coin","2024-11-15 13:42:13.7138","buy","market",0.79030000,521.00000000,1.04200000,659.24332532,0.00000000,"initiated","LQTHYP-2VJLA-GYTYRO,LFMMRG-TNWPW-KM6FIY","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T6NZA7-VNCY7-Y2VWKX","OSLFQA-5IHUS-IENJYM","USDT/GBP","forex","stable_coin","2024-11-27 07:20:08.301","buy","market",0.79470000,79.85000000,0.15970000,100.47816786,0.00000000,"initiated","LVTGN2-VZ2WV-W6F3DY,LPG7YQ-W65PZ-QZTZG4","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
